Season,Date,Month,Home Team,Away Team,Result FullTime,Result HalfTime,HomeGoals FullTime,AwayGoals FullTime,HomeGoals HalfTime,AwyaGoals HalfTime,HomeCard Red,AwayCard Red,HomeCard Yellow,AwayCard Yellow,Validation,,
2013/2014,8/17/2013,August,Arsenal,Aston Villa,A,D,1,3,1,1,1,0,4,5,T,Count,3800
2013/2014,8/17/2013,August,Liverpool,Stoke,H,H,1,0,1,0,0,0,1,1,T,Ensuting the Full time result matches the Wcores,"=IF(AND(J3<K3,H3=""A""), ""T"", IF(AND(J3>K3,H3 =""H""), ""T"",IF(AND(J3=K3,H3 =""D""),""T"",""F"")))"
2013/2014,8/17/2013,August,Norwich,Everton,D,D,2,2,0,0,0,0,2,0,T,,
2013/2014,8/17/2013,August,Sunderland,Fulham,A,D,0,1,0,0,0,0,0,3,T,,
2013/2014,8/17/2013,August,Swansea,Man United,A,A,1,4,0,2,0,0,1,3,T,,
2013/2014,8/17/2013,August,West Brom,Southampton,A,D,0,1,0,0,0,0,4,0,T,,
2013/2014,8/17/2013,August,West Ham,Cardiff,H,H,2,0,1,0,0,0,0,1,T,,
2013/2014,8/18/2013,August,Chelsea,Hull,H,H,2,0,2,0,0,0,0,1,T,,
2013/2014,8/18/2013,August,Crystal Palace,Tottenham,A,D,0,1,0,0,0,0,1,0,T,,
2013/2014,8/19/2013,August,Man City,Newcastle,H,H,4,0,2,0,0,1,2,3,T,,
2013/2014,8/21/2013,August,Chelsea,Aston Villa,H,D,2,1,1,1,0,0,1,4,T,,
2013/2014,8/24/2013,August,Aston Villa,Liverpool,A,A,0,1,0,1,0,0,3,3,T,,
2013/2014,8/24/2013,August,Everton,West Brom,D,D,0,0,0,0,0,0,1,1,T,,
2013/2014,8/24/2013,August,Fulham,Arsenal,A,A,1,3,0,2,0,0,2,2,T,,
2013/2014,8/24/2013,August,Hull,Norwich,H,H,1,0,1,0,1,0,1,1,T,,
2013/2014,8/24/2013,August,Newcastle,West Ham,D,D,0,0,0,0,0,0,0,1,T,,
2013/2014,8/24/2013,August,Southampton,Sunderland,D,A,1,1,0,1,0,0,2,2,T,,
2013/2014,8/24/2013,August,Stoke,Crystal Palace,H,A,2,1,0,1,0,0,3,0,T,,
2013/2014,8/25/2013,August,Cardiff,Man City,H,D,3,2,0,0,0,0,0,0,T,,
2013/2014,8/25/2013,August,Tottenham,Swansea,H,D,1,0,0,0,0,0,1,4,T,,
2013/2014,8/26/2013,August,Man United,Chelsea,D,D,0,0,0,0,0,0,0,2,T,,
2013/2014,8/31/2013,August,Cardiff,Everton,D,D,0,0,0,0,0,0,1,1,T,,
2013/2014,8/31/2013,August,Crystal Palace,Sunderland,H,H,3,1,1,0,0,1,1,0,T,,
2013/2014,8/31/2013,August,Man City,Hull,H,D,2,0,0,0,0,0,2,3,T,,
2013/2014,8/31/2013,August,Newcastle,Fulham,H,D,1,0,0,0,0,0,2,2,T,,
2013/2014,8/31/2013,August,Norwich,Southampton,H,D,1,0,0,0,0,0,0,0,T,,
2013/2014,8/31/2013,August,West Ham,Stoke,A,D,0,1,0,0,0,0,2,1,T,,
2013/2014,9/1/2013,September,Arsenal,Tottenham,H,H,1,0,1,0,0,0,2,2,T,,
2013/2014,9/1/2013,September,Liverpool,Man United,H,H,1,0,1,0,0,0,2,4,T,,
2013/2014,9/1/2013,September,West Brom,Swansea,A,A,0,2,0,1,0,0,4,3,T,,
2013/2014,9/14/2013,September,Aston Villa,Newcastle,A,A,1,2,0,1,0,0,1,4,T,,
2013/2014,9/14/2013,September,Everton,Chelsea,H,H,1,0,1,0,0,0,0,4,T,,
2013/2014,9/14/2013,September,Fulham,West Brom,D,H,1,1,1,0,0,0,0,1,T,,
2013/2014,9/14/2013,September,Hull,Cardiff,D,H,1,1,1,0,0,0,1,2,T,,
2013/2014,9/14/2013,September,Man United,Crystal Palace,H,H,2,0,1,0,0,1,1,2,T,,
2013/2014,9/14/2013,September,Stoke,Man City,D,D,0,0,0,0,0,0,1,1,T,,
2013/2014,9/14/2013,September,Sunderland,Arsenal,A,A,1,3,0,1,0,0,1,2,T,,
2013/2014,9/14/2013,September,Tottenham,Norwich,H,H,2,0,1,0,0,0,1,3,T,,
